model,scope,player_slots,team_win_rate,alive_final_rate,avg_messages_spoken,avg_votes_cast,avg_votes_received,avg_role_claims,avg_false_role_claims
Mafia Gemma BF16,all_games,39,0.6410256410256411,0.5384615384615384,1.435897435897436,2.076923076923077,1.9230769230769231,0.23076923076923078,0.0
Mafia Gemma GGUF Q8,all_games,39,0.5897435897435898,0.5384615384615384,1.2307692307692308,1.794871794871795,1.5897435897435896,0.3333333333333333,0.02564102564102564
GPT-5 medium,all_games,18,0.6111111111111112,0.7222222222222222,1.1666666666666667,1.7777777777777777,1.2222222222222223,0.2222222222222222,0.05555555555555555
GPT-5-mini,all_games,18,0.4444444444444444,0.3888888888888889,1.4444444444444444,1.9444444444444444,2.2222222222222223,0.3333333333333333,0.0
Claude Opus 4.8,all_games,18,0.6111111111111112,0.4444444444444444,1.5,2.1666666666666665,2.5555555555555554,0.3888888888888889,0.0
Claude Sonnet 4.6,all_games,18,0.1111111111111111,0.3333333333333333,1.2777777777777777,1.6666666666666667,2.6666666666666665,0.2222222222222222,0.0
Gemini 2.5 Pro OSV,all_games,18,0.8888888888888888,0.5555555555555556,1.5,2.2222222222222223,1.8888888888888888,0.16666666666666666,0.0
Mafia Gemma BF16,allstar_only,4,0.75,0.75,1.5,2.0,1.0,0.25,0.0
Mafia Gemma GGUF Q8,allstar_only,4,0.5,0.5,1.25,1.5,1.75,0.5,0.0
GPT-5 medium,allstar_only,4,0.5,0.5,1.75,2.0,1.5,0.25,0.25
GPT-5-mini,allstar_only,4,0.75,0.5,1.25,1.5,2.25,0.5,0.0
Claude Opus 4.8,allstar_only,4,0.25,0.25,1.75,2.0,2.75,0.25,0.0
Claude Sonnet 4.6,allstar_only,4,0.5,0.5,1.5,2.0,2.75,0.25,0.0
Gemini 2.5 Pro OSV,allstar_only,4,1.0,1.0,1.5,2.25,1.25,0.25,0.0
