model,role,player_slots,team_win_rate,alive_final_rate,vote_accuracy,votes,avg_messages_spoken,avg_votes_received,avg_role_claims,avg_false_role_claims
Mafia Gemma BF16,Mafia,10,0.2,0.2,1.0,26,1.7,3.6,0.0,0.0
Mafia Gemma BF16,Detective,5,0.8,0.6,0.625,8,0.8,1.6,0.6,0.0
Mafia Gemma BF16,Doctor,8,0.75,0.75,0.7058823529411765,17,1.375,2.375,0.75,0.0
Mafia Gemma BF16,Villager,16,0.8125,0.625,0.7,30,1.5,0.75,0.0,0.0
Mafia Gemma GGUF Q8,Mafia,11,0.5454545454545454,0.5454545454545454,1.0,19,1.2727272727272727,2.0,0.09090909090909091,0.09090909090909091
Mafia Gemma GGUF Q8,Detective,5,0.6,0.4,0.5555555555555556,9,1.4,2.2,1.2,0.0
Mafia Gemma GGUF Q8,Doctor,6,0.6666666666666666,0.5,0.6923076923076923,13,1.3333333333333333,1.5,1.0,0.0
Mafia Gemma GGUF Q8,Villager,17,0.5882352941176471,0.5882352941176471,0.6206896551724138,29,1.1176470588235294,1.1764705882352942,0.0,0.0
GPT-5 medium,Mafia,5,0.8,0.8,1.0,7,1.0,1.2,0.2,0.2
GPT-5 medium,Detective,2,0.5,0.5,1.0,3,1.0,1.0,1.0,0.0
GPT-5 medium,Doctor,2,0.5,0.5,0.6666666666666666,3,0.5,3.0,0.5,0.0
GPT-5 medium,Villager,9,0.5555555555555556,0.7777777777777778,0.5263157894736842,19,1.4444444444444444,0.8888888888888888,0.0,0.0
GPT-5-mini,Mafia,4,0.0,0.0,1.0,10,2.0,3.5,0.0,0.0
GPT-5-mini,Detective,3,0.6666666666666666,0.3333333333333333,0.75,4,1.0,1.6666666666666667,1.0,0.0
GPT-5-mini,Doctor,2,0.5,0.5,0.6,5,2.0,3.5,1.5,0.0
GPT-5-mini,Villager,9,0.5555555555555556,0.5555555555555556,0.5625,16,1.2222222222222223,1.5555555555555556,0.0,0.0
Claude Opus 4.8,Mafia,6,0.0,0.0,1.0,13,1.5,4.166666666666667,0.0,0.0
Claude Opus 4.8,Detective,3,0.6666666666666666,0.3333333333333333,0.6,5,1.0,2.0,1.0,0.0
Claude Opus 4.8,Doctor,2,1.0,1.0,0.5,6,2.0,3.5,2.0,0.0
Claude Opus 4.8,Villager,7,1.0,0.7142857142857143,0.7333333333333333,15,1.5714285714285714,1.1428571428571428,0.0,0.0
Claude Sonnet 4.6,Mafia,7,0.14285714285714285,0.14285714285714285,1.0,12,1.2857142857142858,3.857142857142857,0.0,0.0
Claude Sonnet 4.6,Detective,3,0.3333333333333333,0.3333333333333333,0.5,4,0.6666666666666666,1.0,0.6666666666666666,0.0
Claude Sonnet 4.6,Doctor,2,0.0,0.5,0.25,4,1.5,1.5,1.0,0.0
Claude Sonnet 4.6,Villager,6,0.0,0.5,0.3,10,1.5,2.5,0.0,0.0
Gemini 2.5 Pro OSV,Mafia,5,0.6,0.6,1.0,13,2.2,2.6,0.0,0.0
Gemini 2.5 Pro OSV,Detective,3,1.0,0.3333333333333333,0.8333333333333334,6,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.0
Gemini 2.5 Pro OSV,Doctor,2,1.0,0.0,0.0,2,0.5,2.5,0.5,0.0
Gemini 2.5 Pro OSV,Villager,8,1.0,0.75,0.7894736842105263,19,1.375,1.125,0.0,0.0
