source_batch,source_file,cell,model,architecture,protocol,tie_policy,game_index,seed,winner,good_win,mafia_win,days,parse_failures,invalid_actions,api_errors,llm_calls,discussion_messages,waits,scheduler_calls,scheduler_rounds,candidate_messages,deferred_messages,doctor_saves,mafia_kill_votes,tie_no_eliminations,revac_review_calls,moderator_scheduler_calls,moderator_generator_calls,moderator_send_decisions,moderator_wait_decisions,moderator_interventions,moderator_forced_interventions,moderator_parse_failures,moderator_sim_wait_seconds,moderator_sim_typing_seconds,moderator_avg_message_gap_seconds,moderator_message_rate_deviation,holy_grail_v2_guardrail_checks,holy_grail_v2_overrides,holy_grail_v3_guardrail_checks,holy_grail_v3_overrides,holy_grail_v3_message_overrides,holy_grail_guardrail_checks,holy_grail_overrides,holy_grail_message_overrides,elapsed_sec,error_messages,role_claims,true_role_claims,false_role_claims,role_claim_deception_rate,mafia_false_claims,good_false_claims,first_mafia_eliminated_day,mafia_eliminated_count,detective_alive_final,doctor_alive_final,mafia_alive_final,good_votes_total,good_votes_on_mafia,good_vote_accuracy,mafia_votes_total,mafia_votes_on_good,mafia_vote_accuracy,day_vote_majorities,detective_checks,detective_mafia_hits,detective_hit_rate,doctor_protects,doctor_self_protects,doctor_protected_detective,forced_floor_messages,forced_floor_attempts,quality_offer_count,avg_offer_quality,avg_offer_redundancy_risk,selected_quality_messages,avg_selected_quality,low_quality_offer_count,scenario,description,lineup_digest,lineup
batch_allstar,batch_allstar/seven_player_mafia_20260613_222154.jsonl,allstar_holy_grail_rotation_0,mixed,mixed,moderated_quality_time_to_talk,random,0,10200,good,True,False,2,0,0,0,26,8,2,10,10,0,0,1,3,0,0,10,8,8,2,8,0,0,6.0,113.0,11.666666666666666,0.07999999999999999,0,0,0,0,0,19,19,2,338.771,[],1,1,0,0.0,0,0,1,2,1,1,0,9,9,1.0,3,3,1.0,2,2,1,0.5,2,1,0,0,0,8,4.5,0.625,8,4.5,0,allstar_holy_grail_rotation_0,"Mixed-model table with Mafia Gemma BF16, Mafia Gemma GGUF Q8, GPT-5 medium, GPT-5-mini, Claude Opus 4.8, Claude Sonnet 4.6, and Gemini 2.5 Pro OSV. Every player uses Holy Grail; seats rotate across rows.",c5c847e741,ariel=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; blake=modal_gguf/Alfaxad/mafia-gemma-4-12B-it-gguf:holy_grail; casey=openai/gpt-5:holy_grail; default=openai/gpt-5-mini:holy_grail; devon=openai/gpt-5-mini:holy_grail; emery=anthropic/claude-opus-4-8:holy_grail; finley=anthropic/claude-sonnet-4-6:holy_grail; gray=osv_gateway/vertex_ai/gemini-2.5-pro:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_allstar,batch_allstar/seven_player_mafia_20260613_222154.jsonl,allstar_holy_grail_rotation_1,mixed,mixed,moderated_quality_time_to_talk,random,0,10201,mafia,False,True,2,0,0,0,32,10,2,12,12,0,0,1,4,0,0,12,10,10,2,10,0,0,6.0,137.0,15.666666666666666,0.07999999999999999,0,0,0,0,0,19,19,2,178.573,[],1,1,0,0.0,0,0,,0,0,0,2,8,2,0.25,4,4,1.0,0,2,0,0.0,1,1,0,0,0,10,3.8,0.8,10,3.8,0,allstar_holy_grail_rotation_1,"Mixed-model table with Mafia Gemma BF16, Mafia Gemma GGUF Q8, GPT-5 medium, GPT-5-mini, Claude Opus 4.8, Claude Sonnet 4.6, and Gemini 2.5 Pro OSV. Every player uses Holy Grail; seats rotate across rows.",8e81c36d35,ariel=modal_gguf/Alfaxad/mafia-gemma-4-12B-it-gguf:holy_grail; blake=openai/gpt-5:holy_grail; casey=openai/gpt-5-mini:holy_grail; default=openai/gpt-5-mini:holy_grail; devon=anthropic/claude-opus-4-8:holy_grail; emery=anthropic/claude-sonnet-4-6:holy_grail; finley=osv_gateway/vertex_ai/gemini-2.5-pro:holy_grail; gray=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_allstar,batch_allstar/seven_player_mafia_20260613_222154.jsonl,allstar_holy_grail_rotation_2,mixed,mixed,moderated_quality_time_to_talk,random,0,10202,good,True,False,3,0,0,0,52,16,5,20,20,0,0,3,5,0,0,20,16,15,5,16,1,0,15.0,231.0,15.0,0.07999999999999999,0,0,0,0,0,29,29,5,316.224,[],3,3,0,0.0,0,0,2,2,1,1,0,13,10,0.7692307692307693,5,5,1.0,2,3,2,0.6666666666666666,3,2,1,1,0,16,4.5,0.875,16,4.5,0,allstar_holy_grail_rotation_2,"Mixed-model table with Mafia Gemma BF16, Mafia Gemma GGUF Q8, GPT-5 medium, GPT-5-mini, Claude Opus 4.8, Claude Sonnet 4.6, and Gemini 2.5 Pro OSV. Every player uses Holy Grail; seats rotate across rows.",f9a50ea66f,ariel=openai/gpt-5:holy_grail; blake=openai/gpt-5-mini:holy_grail; casey=anthropic/claude-opus-4-8:holy_grail; default=openai/gpt-5-mini:holy_grail; devon=anthropic/claude-sonnet-4-6:holy_grail; emery=osv_gateway/vertex_ai/gemini-2.5-pro:holy_grail; finley=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; gray=modal_gguf/Alfaxad/mafia-gemma-4-12B-it-gguf:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_allstar,batch_allstar/seven_player_mafia_20260613_222154.jsonl,allstar_holy_grail_rotation_3,mixed,mixed,moderated_quality_time_to_talk,random,0,10203,good,True,False,2,0,0,0,27,8,4,11,11,0,0,1,3,0,0,11,8,7,4,8,1,0,12.0,109.0,14.0,0.07999999999999999,0,0,0,0,0,18,18,3,168.239,[],4,3,1,0.25,1,0,1,2,1,1,0,8,8,1.0,3,3,1.0,2,2,2,1.0,2,0,1,1,0,8,4.75,1.0,8,4.75,0,allstar_holy_grail_rotation_3,"Mixed-model table with Mafia Gemma BF16, Mafia Gemma GGUF Q8, GPT-5 medium, GPT-5-mini, Claude Opus 4.8, Claude Sonnet 4.6, and Gemini 2.5 Pro OSV. Every player uses Holy Grail; seats rotate across rows.",ee43eca4b8,ariel=openai/gpt-5-mini:holy_grail; blake=anthropic/claude-opus-4-8:holy_grail; casey=anthropic/claude-sonnet-4-6:holy_grail; default=openai/gpt-5-mini:holy_grail; devon=osv_gateway/vertex_ai/gemini-2.5-pro:holy_grail; emery=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; finley=modal_gguf/Alfaxad/mafia-gemma-4-12B-it-gguf:holy_grail; gray=openai/gpt-5:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_good_holy_grail_vs_claude_opus_4_8_mafia_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10105,good,True,False,2,0,0,0,23,7,2,9,9,0,0,1,3,0,0,9,7,7,2,7,0,0,6.0,100.0,14.5,0.15999999999999998,0,0,0,0,0,18,18,2,106.016,[],2,2,0,0.0,0,0,1,2,1,1,0,8,8,1.0,3,3,1.0,2,2,2,1.0,2,0,1,0,0,7,4.142857142857143,0.8571428571428571,7,4.142857142857143,0,mafia_gemma_bf16_good_holy_grail_vs_claude_opus_4_8_mafia_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls all good roles and claude_opus_4_8 controls both Mafia. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,ac3be3af11,default=anthropic/claude-opus-4-8:holy_grail; good=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; mafia=anthropic/claude-opus-4-8:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_good_holy_grail_vs_claude_sonnet_4_6_mafia_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10107,good,True,False,2,0,0,0,26,8,2,10,10,0,0,1,3,0,0,10,8,8,2,8,0,0,6.0,117.0,15.0,0.15999999999999998,0,0,0,0,0,18,18,2,122.673,[],1,1,0,0.0,0,0,1,2,1,1,0,8,8,1.0,3,3,1.0,2,2,2,1.0,2,0,1,0,0,8,4.625,0.875,8,4.625,0,mafia_gemma_bf16_good_holy_grail_vs_claude_sonnet_4_6_mafia_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls all good roles and claude_sonnet_4_6 controls both Mafia. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,ffb30e2181,default=anthropic/claude-sonnet-4-6:holy_grail; good=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; mafia=anthropic/claude-sonnet-4-6:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_good_holy_grail_vs_gemini_2_5_pro_osv_mafia_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10109,good,True,False,3,0,0,0,39,12,3,15,15,0,0,2,5,0,0,15,12,12,3,12,0,0,9.0,147.0,13.0,0.0,0,0,0,0,0,25,25,3,226.712,[],3,3,0,0.0,0,0,2,2,0,1,0,11,8,0.7272727272727273,5,5,1.0,2,1,0,0.0,3,2,0,0,0,12,4.083333333333333,0.25,12,4.083333333333333,0,mafia_gemma_bf16_good_holy_grail_vs_gemini_2_5_pro_osv_mafia_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls all good roles and gemini_2_5_pro_osv controls both Mafia. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,ec66f25c4d,default=osv_gateway/vertex_ai/gemini-2.5-pro:holy_grail; good=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; mafia=osv_gateway/vertex_ai/gemini-2.5-pro:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_good_holy_grail_vs_gpt5_medium_mafia_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10101,mafia,False,True,3,0,0,0,26,8,2,10,10,0,0,2,6,0,0,10,8,8,2,8,0,0,6.0,120.0,15.666666666666666,0.11111111111111112,0,0,0,0,0,24,24,1,176.036,[],0,0,0,0.0,0,0,,0,1,0,2,9,0,0.0,4,4,1.0,1,3,0,0.0,2,1,0,0,0,8,4.25,0.5,8,4.25,0,mafia_gemma_bf16_good_holy_grail_vs_gpt5_medium_mafia_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls all good roles and gpt5_medium controls both Mafia. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,92d2d5a09c,default=openai/gpt-5:holy_grail; good=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; mafia=openai/gpt-5:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_good_holy_grail_vs_gpt5mini_mafia_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10103,good,True,False,3,0,0,0,39,12,3,15,15,0,0,2,5,0,0,15,12,12,3,12,0,0,9.0,184.0,15.333333333333334,0.0,0,0,0,0,0,25,25,2,186.531,[],2,2,0,0.0,0,0,2,2,0,1,0,11,8,0.7272727272727273,5,5,1.0,2,1,0,0.0,3,2,1,0,0,12,4.5,0.3333333333333333,12,4.5,0,mafia_gemma_bf16_good_holy_grail_vs_gpt5mini_mafia_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls all good roles and gpt5mini controls both Mafia. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,d80a39af4b,default=openai/gpt-5-mini:holy_grail; good=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; mafia=openai/gpt-5-mini:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_mafia_holy_grail_vs_claude_opus_4_8_good_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10104,good,True,False,4,0,0,0,49,15,4,19,19,0,0,4,7,0,0,19,15,15,4,15,0,0,12.0,229.0,15.0,0.0,0,0,0,0,0,35,35,4,228.587,[],4,4,0,0.0,0,0,3,2,0,1,0,15,8,0.5333333333333333,7,7,1.0,2,2,0,0.0,4,2,1,0,0,15,4.6,1.0,15,4.6,0,mafia_gemma_bf16_mafia_holy_grail_vs_claude_opus_4_8_good_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls both Mafia and claude_opus_4_8 controls all good roles. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,452f5ad42b,default=anthropic/claude-opus-4-8:holy_grail; good=anthropic/claude-opus-4-8:holy_grail; mafia=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_mafia_holy_grail_vs_claude_sonnet_4_6_good_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10106,mafia,False,True,2,0,0,0,23,7,2,9,9,0,0,1,4,0,0,9,7,7,2,7,0,0,6.0,107.0,16.0,0.15999999999999998,0,0,0,0,0,18,18,1,98.984,[],0,0,0,0.0,0,0,,0,0,1,2,7,3,0.42857142857142855,4,4,1.0,1,1,1,1.0,2,1,0,0,0,7,3.857142857142857,0.42857142857142855,7,3.857142857142857,0,mafia_gemma_bf16_mafia_holy_grail_vs_claude_sonnet_4_6_good_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls both Mafia and claude_sonnet_4_6 controls all good roles. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,df884c75a0,default=anthropic/claude-sonnet-4-6:holy_grail; good=anthropic/claude-sonnet-4-6:holy_grail; mafia=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_mafia_holy_grail_vs_gemini_2_5_pro_osv_good_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10108,good,True,False,3,0,0,0,34,10,4,14,14,0,0,1,5,0,0,14,10,10,4,10,0,0,12.0,112.0,11.5,0.0,0,0,0,0,0,24,24,1,194.878,[],1,1,0,0.0,0,0,2,2,0,0,0,10,6,0.6,5,5,1.0,2,3,2,0.6666666666666666,1,0,0,0,0,10,4.2,1.3,10,4.2,0,mafia_gemma_bf16_mafia_holy_grail_vs_gemini_2_5_pro_osv_good_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls both Mafia and gemini_2_5_pro_osv controls all good roles. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,1533b76a99,default=osv_gateway/vertex_ai/gemini-2.5-pro:holy_grail; good=osv_gateway/vertex_ai/gemini-2.5-pro:holy_grail; mafia=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_mafia_holy_grail_vs_gpt5_medium_good_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10100,good,True,False,2,0,0,0,26,8,2,10,10,0,0,2,3,0,0,10,8,8,2,8,0,0,6.0,121.0,15.333333333333334,0.11111111111111112,0,0,0,0,0,20,20,2,370.879,[],2,2,0,0.0,0,0,1,2,1,1,0,10,10,1.0,3,3,1.0,2,2,1,0.5,2,1,0,0,0,8,4.0,0.375,8,4.0,0,mafia_gemma_bf16_mafia_holy_grail_vs_gpt5_medium_good_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls both Mafia and gpt5_medium controls all good roles. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,544a0ad946,default=openai/gpt-5:holy_grail; good=openai/gpt-5:holy_grail; mafia=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
batch_bf16_pairwise,batch_bf16_pairwise/seven_player_mafia_20260613_214907.jsonl,mafia_gemma_bf16_mafia_holy_grail_vs_gpt5mini_good_holy_grail_moderated_quality_ttt,mixed,mixed,moderated_quality_time_to_talk,random,0,10102,good,True,False,4,0,0,0,49,15,4,19,19,0,0,4,7,0,0,19,15,15,4,15,0,0,12.0,212.0,13.0,0.12499999999999999,0,0,0,0,0,35,35,5,236.013,[],3,3,0,0.0,0,0,3,2,0,1,0,15,9,0.6,7,7,1.0,1,2,0,0.0,4,2,1,0,0,15,4.333333333333333,1.0666666666666667,15,4.333333333333333,0,mafia_gemma_bf16_mafia_holy_grail_vs_gpt5mini_good_holy_grail_moderated_quality_ttt,mafia_gemma_bf16 controls both Mafia and gpt5mini controls all good roles. All player agents use Holy Grail under the base Gemma BF16 TTT moderator.,3b1523b2b3,default=openai/gpt-5-mini:holy_grail; good=openai/gpt-5-mini:holy_grail; mafia=modal_transformers/Alfaxad/mafia-gemma-4-12B-it:holy_grail; moderator=modal_base_bf16/google/gemma-4-12B-it:baseline
