cell,model,architecture,protocol,n,good_wins,mafia_wins,good_win_rate,avg_days,avg_parse_failures,avg_invalid_actions,avg_api_errors,avg_discussion_messages,avg_waits,avg_scheduler_calls,avg_scheduler_rounds,avg_candidate_messages,avg_deferred_messages,avg_revac_review_calls,avg_moderator_scheduler_calls,avg_moderator_generator_calls,avg_moderator_interventions,avg_moderator_wait_decisions,avg_moderator_forced_interventions,avg_moderator_parse_failures,avg_moderator_gap_seconds,avg_moderator_rate_deviation,avg_forced_floor_messages,avg_forced_floor_attempts,avg_role_claims,avg_false_role_claims,avg_role_claim_deception_rate,avg_mafia_false_claims,avg_good_false_claims,avg_doctor_saves,avg_mafia_kill_votes,avg_tie_no_eliminations,avg_mafia_alive_final,avg_quality_offer_count,avg_offer_quality,avg_offer_redundancy_risk,avg_selected_quality,avg_low_quality_offer_count,avg_sec
mafia_gemma_bf16_good_holy_grail_vs_claude_opus_4_8_mafia_holy_grail_moderated_quality_ttt,ac3be3af11,mixed,moderated_quality_time_to_talk,1,1,0,1.0,2.0,0.0,0.0,0.0,7.0,2.0,9.0,9.0,0.0,0.0,0.0,9.0,7.0,7.0,2.0,0.0,0.0,14.5,0.15999999999999998,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,4.142857142857143,0.8571428571428571,4.142857142857143,0.0,106.016
mafia_gemma_bf16_good_holy_grail_vs_claude_sonnet_4_6_mafia_holy_grail_moderated_quality_ttt,ffb30e2181,mixed,moderated_quality_time_to_talk,1,1,0,1.0,2.0,0.0,0.0,0.0,8.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,8.0,8.0,2.0,0.0,0.0,15.0,0.15999999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,8.0,4.625,0.875,4.625,0.0,122.673
mafia_gemma_bf16_good_holy_grail_vs_gemini_2_5_pro_osv_mafia_holy_grail_moderated_quality_ttt,ec66f25c4d,mixed,moderated_quality_time_to_talk,1,1,0,1.0,3.0,0.0,0.0,0.0,12.0,3.0,15.0,15.0,0.0,0.0,0.0,15.0,12.0,12.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,12.0,4.083333333333333,0.25,4.083333333333333,0.0,226.712
mafia_gemma_bf16_good_holy_grail_vs_gpt5_medium_mafia_holy_grail_moderated_quality_ttt,92d2d5a09c,mixed,moderated_quality_time_to_talk,1,0,1,0.0,3.0,0.0,0.0,0.0,8.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,8.0,8.0,2.0,0.0,0.0,15.666666666666666,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,8.0,4.25,0.5,4.25,0.0,176.036
mafia_gemma_bf16_good_holy_grail_vs_gpt5mini_mafia_holy_grail_moderated_quality_ttt,d80a39af4b,mixed,moderated_quality_time_to_talk,1,1,0,1.0,3.0,0.0,0.0,0.0,12.0,3.0,15.0,15.0,0.0,0.0,0.0,15.0,12.0,12.0,3.0,0.0,0.0,15.333333333333334,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,12.0,4.5,0.3333333333333333,4.5,0.0,186.531
mafia_gemma_bf16_mafia_holy_grail_vs_claude_opus_4_8_good_holy_grail_moderated_quality_ttt,452f5ad42b,mixed,moderated_quality_time_to_talk,1,1,0,1.0,4.0,0.0,0.0,0.0,15.0,4.0,19.0,19.0,0.0,0.0,0.0,19.0,15.0,15.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,15.0,4.6,1.0,4.6,0.0,228.587
mafia_gemma_bf16_mafia_holy_grail_vs_claude_sonnet_4_6_good_holy_grail_moderated_quality_ttt,df884c75a0,mixed,moderated_quality_time_to_talk,1,0,1,0.0,2.0,0.0,0.0,0.0,7.0,2.0,9.0,9.0,0.0,0.0,0.0,9.0,7.0,7.0,2.0,0.0,0.0,16.0,0.15999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,7.0,3.857142857142857,0.42857142857142855,3.857142857142857,0.0,98.984
mafia_gemma_bf16_mafia_holy_grail_vs_gemini_2_5_pro_osv_good_holy_grail_moderated_quality_ttt,1533b76a99,mixed,moderated_quality_time_to_talk,1,1,0,1.0,3.0,0.0,0.0,0.0,10.0,4.0,14.0,14.0,0.0,0.0,0.0,14.0,10.0,10.0,4.0,0.0,0.0,11.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,4.2,1.3,4.2,0.0,194.878
mafia_gemma_bf16_mafia_holy_grail_vs_gpt5_medium_good_holy_grail_moderated_quality_ttt,544a0ad946,mixed,moderated_quality_time_to_talk,1,1,0,1.0,2.0,0.0,0.0,0.0,8.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,8.0,8.0,2.0,0.0,0.0,15.333333333333334,0.11111111111111112,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,8.0,4.0,0.375,4.0,0.0,370.879
mafia_gemma_bf16_mafia_holy_grail_vs_gpt5mini_good_holy_grail_moderated_quality_ttt,3b1523b2b3,mixed,moderated_quality_time_to_talk,1,1,0,1.0,4.0,0.0,0.0,0.0,15.0,4.0,19.0,19.0,0.0,0.0,0.0,19.0,15.0,15.0,4.0,0.0,0.0,13.0,0.12499999999999999,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,15.0,4.333333333333333,1.0666666666666667,4.333333333333333,0.0,236.013
