cell,model,architecture,protocol,n,good_wins,mafia_wins,good_win_rate,avg_days,avg_parse_failures,avg_invalid_actions,avg_api_errors,avg_discussion_messages,avg_waits,avg_scheduler_calls,avg_scheduler_rounds,avg_candidate_messages,avg_deferred_messages,avg_revac_review_calls,avg_moderator_scheduler_calls,avg_moderator_generator_calls,avg_moderator_interventions,avg_moderator_wait_decisions,avg_moderator_forced_interventions,avg_moderator_parse_failures,avg_moderator_gap_seconds,avg_moderator_rate_deviation,avg_forced_floor_messages,avg_forced_floor_attempts,avg_role_claims,avg_false_role_claims,avg_role_claim_deception_rate,avg_mafia_false_claims,avg_good_false_claims,avg_doctor_saves,avg_mafia_kill_votes,avg_tie_no_eliminations,avg_mafia_alive_final,avg_quality_offer_count,avg_offer_quality,avg_offer_redundancy_risk,avg_selected_quality,avg_low_quality_offer_count,avg_sec
mafia_gemma_gguf_q8_good_holy_grail_vs_claude_opus_4_8_mafia_holy_grail_moderated_quality_ttt,d432622397,mixed,moderated_quality_time_to_talk,1,1,0,1.0,3.0,0.0,0.0,0.0,12.0,3.0,15.0,15.0,0.0,0.0,0.0,15.0,12.0,12.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,12.0,4.166666666666667,1.0,4.166666666666667,0.0,185.829
mafia_gemma_gguf_q8_good_holy_grail_vs_claude_sonnet_4_6_mafia_holy_grail_moderated_quality_ttt,0ef0d5a700,mixed,moderated_quality_time_to_talk,1,1,0,1.0,2.0,0.0,0.0,0.0,9.0,2.0,11.0,11.0,0.0,0.0,0.0,11.0,9.0,9.0,2.0,0.0,0.0,14.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,4.555555555555555,0.5555555555555556,4.555555555555555,0.0,136.292
mafia_gemma_gguf_q8_good_holy_grail_vs_gemini_2_5_pro_osv_mafia_holy_grail_moderated_quality_ttt,a0f1fe611f,mixed,moderated_quality_time_to_talk,1,0,1,0.0,3.0,0.0,0.0,0.0,11.0,3.0,14.0,14.0,0.0,0.0,0.0,14.0,11.0,11.0,3.0,0.0,0.0,8.0,0.15999999999999998,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,11.0,4.090909090909091,0.8181818181818182,4.090909090909091,0.0,215.28
mafia_gemma_gguf_q8_good_holy_grail_vs_gpt5_medium_mafia_holy_grail_moderated_quality_ttt,fc418ea11a,mixed,moderated_quality_time_to_talk,1,0,1,0.0,2.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.0,0.0,15.0,0.11111111111111112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,3.5,0.0,3.5,0.0,53.473
mafia_gemma_gguf_q8_good_holy_grail_vs_gpt5mini_mafia_holy_grail_moderated_quality_ttt,0fbf83cc40,mixed,moderated_quality_time_to_talk,1,1,0,1.0,3.0,0.0,0.0,0.0,10.0,3.0,13.0,13.0,0.0,0.0,0.0,13.0,10.0,10.0,3.0,0.0,0.0,15.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,4.6,1.1,4.6,0.0,143.872
mafia_gemma_gguf_q8_mafia_holy_grail_vs_claude_opus_4_8_good_holy_grail_moderated_quality_ttt,320fd5601d,mixed,moderated_quality_time_to_talk,1,1,0,1.0,2.0,0.0,0.0,0.0,8.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,8.0,8.0,2.0,0.0,0.0,15.333333333333334,0.16,0.0,0.0,3.0,1.0,0.3333333333333333,1.0,0.0,1.0,3.0,0.0,0.0,8.0,4.0,0.625,4.0,0.0,134.739
mafia_gemma_gguf_q8_mafia_holy_grail_vs_claude_sonnet_4_6_good_holy_grail_moderated_quality_ttt,51c80f6a53,mixed,moderated_quality_time_to_talk,1,0,1,0.0,3.0,0.0,0.0,0.0,10.0,2.0,12.0,12.0,0.0,0.0,0.0,12.0,10.0,10.0,2.0,0.0,0.0,15.666666666666666,0.11111111111111112,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,10.0,4.7,1.4,4.7,0.0,152.98
mafia_gemma_gguf_q8_mafia_holy_grail_vs_gemini_2_5_pro_osv_good_holy_grail_moderated_quality_ttt,ec54781c0c,mixed,moderated_quality_time_to_talk,1,1,0,1.0,3.0,0.0,0.0,0.0,9.0,3.0,12.0,12.0,0.0,0.0,0.0,12.0,9.0,9.0,3.0,0.0,0.0,8.0,0.22222222222222224,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,9.0,4.111111111111111,0.3333333333333333,4.111111111111111,0.0,194.193
mafia_gemma_gguf_q8_mafia_holy_grail_vs_gpt5_medium_good_holy_grail_moderated_quality_ttt,ae4f896180,mixed,moderated_quality_time_to_talk,1,0,1,0.0,2.0,0.0,0.0,0.0,7.0,2.0,9.0,9.0,0.0,0.0,0.0,9.0,7.0,7.0,2.0,0.0,0.0,16.5,0.15999999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,7.0,3.857142857142857,1.0,3.857142857142857,0.0,352.6
mafia_gemma_gguf_q8_mafia_holy_grail_vs_gpt5mini_good_holy_grail_moderated_quality_ttt,93a5bb70f0,mixed,moderated_quality_time_to_talk,1,0,1,0.0,2.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.0,0.0,15.0,0.11111111111111112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,3.0,0.5,3.0,0.0,75.855
