model,architecture,role,n,alive_final_rate,avg_messages_spoken,avg_votes_cast,avg_votes_received,avg_role_claims,avg_false_role_claims
Mafia Gemma BF16,Holy Grail,Detective,3,0.3333333333333333,1.3333333333333333,2.0,3.3333333333333335,1.3333333333333333,0.0
Mafia Gemma BF16,Holy Grail,Doctor,3,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.0,0.0
Mafia Gemma BF16,Holy Grail,Mafia,6,0.0,1.5,2.5,3.8333333333333335,0.16666666666666666,0.16666666666666666
Mafia Gemma BF16,Holy Grail,Villager,9,0.7777777777777778,1.6666666666666667,2.4444444444444446,1.3333333333333333,0.0,0.0
Mafia Gemma BF16,ReVAC,Detective,3,0.3333333333333333,0.6666666666666666,1.0,2.0,0.3333333333333333,0.0
Mafia Gemma BF16,ReVAC,Doctor,3,0.3333333333333333,1.0,1.3333333333333333,2.0,0.3333333333333333,0.0
Mafia Gemma BF16,ReVAC,Mafia,6,1.0,1.1666666666666667,1.6666666666666667,0.3333333333333333,0.0,0.0
Mafia Gemma BF16,ReVAC,Villager,9,0.4444444444444444,0.7777777777777778,1.5555555555555556,1.8888888888888888,0.0,0.0
Mafia Gemma BF16,GRAIL,Detective,3,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.0
Mafia Gemma BF16,GRAIL,Doctor,3,0.0,0.6666666666666666,1.0,2.0,0.6666666666666666,0.0
Mafia Gemma BF16,GRAIL,Mafia,6,1.0,1.3333333333333333,1.6666666666666667,0.5,0.16666666666666666,0.16666666666666666
Mafia Gemma BF16,GRAIL,Villager,9,0.4444444444444444,0.7777777777777778,1.5555555555555556,2.3333333333333335,0.0,0.0
GPT-5-mini,Holy Grail,Detective,3,0.3333333333333333,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.0
GPT-5-mini,Holy Grail,Doctor,3,0.3333333333333333,2.0,2.0,3.0,1.6666666666666667,0.0
GPT-5-mini,Holy Grail,Mafia,6,0.3333333333333333,1.8333333333333333,2.3333333333333335,2.8333333333333335,0.0,0.0
GPT-5-mini,Holy Grail,Villager,9,0.5555555555555556,1.2222222222222223,1.8888888888888888,1.2222222222222223,0.1111111111111111,0.1111111111111111
GPT-5-mini,ReVAC,Detective,3,0.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.0,0.0
GPT-5-mini,ReVAC,Doctor,3,0.6666666666666666,1.6666666666666667,2.0,0.3333333333333333,0.0,0.0
GPT-5-mini,ReVAC,Mafia,6,0.6666666666666666,1.5,1.8333333333333333,1.1666666666666667,0.0,0.0
GPT-5-mini,ReVAC,Villager,9,0.5555555555555556,1.1111111111111112,1.4444444444444444,1.5555555555555556,0.0,0.0
GPT-5-mini,GRAIL,Detective,3,0.3333333333333333,0.6666666666666666,1.0,2.0,0.0,0.0
GPT-5-mini,GRAIL,Doctor,3,0.0,1.3333333333333333,1.6666666666666667,2.0,0.0,0.0
GPT-5-mini,GRAIL,Mafia,6,0.6666666666666666,1.5,2.0,2.0,0.0,0.0
GPT-5-mini,GRAIL,Villager,9,0.3333333333333333,1.0,1.8888888888888888,1.4444444444444444,0.0,0.0
Claude Opus 4.8,Holy Grail,Detective,3,0.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.0
Claude Opus 4.8,Holy Grail,Doctor,3,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.0,0.0
Claude Opus 4.8,Holy Grail,Mafia,6,0.3333333333333333,1.3333333333333333,2.0,3.0,0.3333333333333333,0.3333333333333333
Claude Opus 4.8,Holy Grail,Villager,9,0.6666666666666666,1.2222222222222223,1.8888888888888888,1.4444444444444444,0.0,0.0
Claude Opus 4.8,ReVAC,Detective,3,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0
Claude Opus 4.8,ReVAC,Doctor,3,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.0,0.0
Claude Opus 4.8,ReVAC,Mafia,6,0.3333333333333333,1.1666666666666667,1.6666666666666667,2.6666666666666665,0.0,0.0
Claude Opus 4.8,ReVAC,Villager,9,0.6666666666666666,1.1111111111111112,1.6666666666666667,1.2222222222222223,0.0,0.0
Claude Opus 4.8,GRAIL,Detective,3,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,0.0
Claude Opus 4.8,GRAIL,Doctor,3,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.0,0.0
Claude Opus 4.8,GRAIL,Mafia,6,0.6666666666666666,1.1666666666666667,1.3333333333333333,2.0,0.16666666666666666,0.16666666666666666
Claude Opus 4.8,GRAIL,Villager,9,0.4444444444444444,0.7777777777777778,1.3333333333333333,1.2222222222222223,0.1111111111111111,0.0
